run 358: 0.001256 sec, result=1000000.000000
run 359: 0.001502 sec, result=1000000.000000
run 360: 0.002264 sec, result=1000000.000000
run 361: 0.003187 sec, result=1000000.000000
run 362: 0.002936 sec, result=1000000.000000
run 363: 0.002848 sec, result=1000000.000000
run 364: 0.002445 sec, result=1000000.000000
run 365: 0.001883 sec, result=1000000.000000
run 366: 0.002346 sec, result=1000000.000000
run 367: 0.002313 sec, result=1000000.000000
run 368: 0.001399 sec, result=1000000.000000
run 369: 0.001305 sec, result=1000000.000000
run 370: 0.002028 sec, result=1000000.000000
run 371: 0.001964 sec, result=1000000.000000
run 372: 0.001255 sec, result=1000000.000000
run 373: 0.001095 sec, result=1000000.000000
run 374: 0.000864 sec, result=1000000.000000
run 375: 0.000867 sec, result=1000000.000000
run 376: 0.001110 sec, result=1000000.000000
run 377: 0.001166 sec, result=1000000.000000
run 378: 0.001774 sec, result=1000000.000000
run 379: 0.002785 sec, result=1000000.000000
run 380: 0.001639 sec, result=1000000.000000
run 381: 0.001300 sec, result=1000000.000000
run 382: 0.002368 sec, result=1000000.000000
run 383: 0.001885 sec, result=1000000.000000
run 384: 0.001937 sec, result=1000000.000000
run 385: 0.001773 sec, result=1000000.000000
run 386: 0.002511 sec, result=1000000.000000
run 387: 0.002329 sec, result=1000000.000000
run 388: 0.002118 sec, result=1000000.000000
run 389: 0.001750 sec, result=1000000.000000
run 390: 0.001967 sec, result=1000000.000000
run 391: 0.001941 sec, result=1000000.000000
run 392: 0.001776 sec, result=1000000.000000
run 393: 0.001885 sec, result=1000000.000000
run 394: 0.002122 sec, result=1000000.000000
run 395: 0.002920 sec, result=1000000.000000
run 396: 0.001136 sec, result=1000000.000000
run 397: 0.001203 sec, result=1000000.000000
run 398: 0.001010 sec, result=1000000.000000
run 399: 0.000990 sec, result=1000000.000000
run 400: 0.000995 sec, result=1000000.000000
run 401: 0.000924 sec, result=1000000.000000
run 402: 0.000917 sec, result=1000000.000000
run 403: 0.001048 sec, result=1000000.000000
run 404: 0.001210 sec, result=1000000.000000
run 405: 0.001386 sec, result=1000000.000000
run 406: 0.001417 sec, result=1000000.000000
run 407: 0.001851 sec, result=1000000.000000
run 408: 0.001847 sec, result=1000000.000000
run 409: 0.001396 sec, result=1000000.000000
run 410: 0.001854 sec, result=1000000.000000
run 411: 0.001355 sec, result=1000000.000000
run 412: 0.001283 sec, result=1000000.000000
run 413: 0.000971 sec, result=1000000.000000
run 414: 0.000823 sec, result=1000000.000000
run 415: 0.000800 sec, result=1000000.000000
run 416: 0.001243 sec, result=1000000.000000
run 417: 0.001122 sec, result=1000000.000000
run 418: 0.001084 sec, result=1000000.000000
run 419: 0.000879 sec, result=1000000.000000
run 420: 0.001399 sec, result=1000000.000000
run 421: 0.002046 sec, result=1000000.000000
run 422: 0.001259 sec, result=1000000.000000
run 423: 0.001267 sec, result=1000000.000000
run 424: 0.001052 sec, result=1000000.000000
run 425: 0.000621 sec, result=1000000.000000
run 426: 0.000616 sec, result=1000000.000000
run 427: 0.001108 sec, result=1000000.000000
run 428: 0.000828 sec, result=1000000.000000
run 429: 0.001026 sec, result=1000000.000000
run 430: 0.000691 sec, result=1000000.000000
run 431: 0.000574 sec, result=1000000.000000
run 432: 0.000586 sec, result=1000000.000000
run 433: 0.000572 sec, result=1000000.000000
run 434: 0.000569 sec, result=1000000.000000
run 435: 0.000565 sec, result=1000000.000000
run 436: 0.000579 sec, result=1000000.000000
run 437: 0.000567 sec, result=1000000.000000
run 438: 0.000581 sec, result=1000000.000000
run 439: 0.000816 sec, result=1000000.000000
run 440: 0.001336 sec, result=1000000.000000
run 441: 0.000723 sec, result=1000000.000000
run 442: 0.000626 sec, result=1000000.000000
run 443: 0.000652 sec, result=1000000.000000
run 444: 0.000623 sec, result=1000000.000000
run 445: 0.000622 sec, result=1000000.000000
run 446: 0.000612 sec, result=1000000.000000
run 447: 0.000665 sec, result=1000000.000000
run 448: 0.001313 sec, result=1000000.000000
run 449: 0.001037 sec, result=1000000.000000
run 450: 0.001106 sec, result=1000000.000000
run 451: 0.000596 sec, result=1000000.000000
run 452: 0.000578 sec, result=1000000.000000
run 453: 0.000564 sec, result=1000000.000000
